initialMonthlyRentPrice,rentPriceYearlyIncrease,delta
500,-0.1,-2249.290125158874200239166550
500,-0.09,-1714.595885240348844856260171
500,-0.08,-1168.920280138530435608170506
500,-0.07,-612.089766824993881452025366
500,-0.06,-43.929328808655097429086173
500,-0.05,535.737523864228995335252047
500,-0.04,1127.088754610060469631460623
500,-0.03,1730.303800307900392165877283
500,-0.02,2345.563571299468823560706134
500,-0.01,2973.050451389144818354017640
500,0.00,3612.948297843966424999748685
500,0.01,4265.442441393630685867702495
500,0.02,4930.719686230493637243548712
500,0.03,5608.968310009570309328823321
500,0.04,6300.378063848534726240928718
500,0.05,7005.140172327719906013133661
500,0.06,7723.447333490117860594573301
500,0.07,8455.493718841379595850249159
500,0.08,9201.474973349815111561029150
500,0.09,9961.588215446393401423647548
500,0.10,10736.032037024742453050705021
500,0.11,11525.006503441149247970668627
500,0.12,12328.713153514559761627871777
500,0.13,13147.354999526578963382514292
500,0.14,13981.136527221470816510662354
500,0.15,14830.263695806158278204248534
600,-0.1,3378.870474324867747213125657
600,-0.09,4020.503562227098173672613318
600,-0.08,4675.314288349280264770320908
600,-0.07,5343.510904325524129757695079
600,-0.06,6025.303429945130670585222118
600,-0.05,6720.903653152591581902427978
600,-0.04,7430.525130047589351057878268
600,-0.03,8154.383184884997258099178262
600,-0.02,8892.694910074879375772972876
600,-0.01,9645.679166182490569524946694
600,0.00,10413.556581928276497499823940
600,0.01,11196.549554187873610541368519
600,0.02,11994.882247992109152192383970
600,0.03,12808.780596527001158694713503
600,0.04,13638.472301133758458989239982
600,0.05,14484.186831308780674715885916
600,0.06,15346.155424703658220213613484
600,0.07,16224.611087125172302520424513
600,0.08,17119.788592535294921373360498
600,0.09,18031.924483051188869208502579
600,0.10,18961.257068945207731160971548
600,0.11,19908.026428644895885064927867
600,0.12,20872.474408732988501453571652
600,0.13,21854.844623947411543559142670
600,0.14,22855.382457181281767312920342
600,0.15,23874.335059482906721345223759
700,-0.1,9007.031073808609694665417867
700,-0.09,9755.603009694545192201486805
700,-0.08,10519.548856837090965148812329
700,-0.07,11299.111575476042140967415523
700,-0.06,12094.536188698916438599530403
700,-0.05,12906.069782440954168469603907
700,-0.04,13733.961505485118232484295912
700,-0.03,14578.462569462094124032479240
700,-0.02,15439.826248850289927985239625
700,-0.01,16318.307880975836320695875737
700,0.00,17214.164866012586569999899198
700,0.01,18127.656666982116535215034537
700,0.02,19059.044809753724667141219235
700,0.03,20008.592883044432008060603689
700,0.04,20976.566538418982191737551243
700,0.05,21963.233490289841443418638169
700,0.06,22968.863515917198579832653665
700,0.07,23993.728455408965009190599874
700,0.08,25038.102211720774731185691848
700,0.09,26102.260750655984336993357603
700,0.10,27186.482100865673009271238072
700,0.11,28291.046353848642522159187117
700,0.12,29416.235663951417241279271531
700,0.13,30562.334248368244123735771050
700,0.14,31729.628387141092718115178333
700,0.15,32918.406423159655164486198986
800,-0.1,14635.191673292351642117710069
800,-0.09,15490.702457161992210730360293
800,-0.08,16363.783425324901665527303750
800,-0.07,17254.712246626560152177135968
800,-0.06,18163.768947452702206613838685
800,-0.05,19091.235911729316755036779836
800,-0.04,20037.397880922647113910713558
800,-0.03,21002.541954039190989965780217
800,-0.02,21986.957587625700480197506367
800,-0.01,22990.936595769182071866804787
800,0.00,24014.773150096896642499974449
800,0.01,25058.763779776359459888700557
800,0.02,26123.207371515340182090054498
800,0.03,27208.405169561862857426493873
800,0.04,28314.660775704205924485862511
800,0.05,29442.280149270902212121390419
800,0.06,30591.571607130738939451693848
800,0.07,31762.845823692757715860775224
800,0.08,32956.415830906254540998023201
800,0.09,34172.597018260779804778212632
800,0.10,35411.707132786138287381504601
800,0.11,36674.066279052389159253446355
800,0.12,37959.996919169845981104971403
800,0.13,39269.823872789076703912399425
800,0.14,40603.874317100903668917436324
800,0.15,41962.477786836403607627174208
900,-0.1,20263.352272776093589570002287
900,-0.09,21225.801904629439229259233780
900,-0.08,22208.017993812712365905795173
900,-0.07,23210.312917777078163386856420
900,-0.06,24233.001706206487974628146976
900,-0.05,25276.402041017679341603955767
900,-0.04,26340.834256360175995337131208
900,-0.03,27426.621338616287855899081196
900,-0.02,28534.088926401111032409773118
900,-0.01,29663.565310562527823037733838
900,0.00,30815.381434181206715000049709
900,0.01,31989.870892570602384562366583
900,0.02,33187.369933276955697038889760
900,0.03,34408.217456079293706792384063
900,0.04,35652.755012989429657234173772
900,0.05,36921.326808251962980824142679
900,0.06,38214.279698344279299070734033
900,0.07,39531.963191976550422530950579
900,0.08,40874.729450091734350810354554
900,0.09,42242.933285865575272563067669
900,0.10,43636.932164706603565491771126
900,0.11,45057.086204256135796347705610
900,0.12,46503.758174388274720930671285
900,0.13,47977.313497209909284089027808
900,0.14,49478.120247060714619719694319
900,0.15,51006.549150513152050768149441
1000,-0.1,25891.512872259835537022294499
1000,-0.09,26960.901352096886247788107262
1000,-0.08,28052.252562300523066284286590
1000,-0.07,29165.913588927596174596576868
1000,-0.06,30302.234464960273742642455264
1000,-0.05,31461.568170306041928171131697
1000,-0.04,32644.270631797704876763548855
1000,-0.03,33850.700723193384721832382175
1000,-0.02,35081.220265176521584622039863
1000,-0.01,36336.194025355873574208662887
1000,0.00,37615.989718265516787500124967
1000,0.01,38920.978005364845309236032601
1000,0.02,40251.532495038571211987725022
1000,0.03,41608.029742596724556158274242
1000,0.04,42990.849250274653389982485043
1000,0.05,44400.373467233023749526894928
1000,0.06,45836.987789557819658689774210
1000,0.07,47301.080560260343129201125929
1000,0.08,48793.043069277214160622685905
1000,0.09,50313.269553470370740347922699
1000,0.10,51862.157196627068843602037652
1000,0.11,53440.106129459882433441964853
1000,0.12,55047.519429606703460756371158
1000,0.13,56684.803121630741864265656190
1000,0.14,58352.366177020525570521952312
1000,0.15,60050.620514189900493909124669
1100,-0.1,31519.673471743577484474586707
1100,-0.09,32696.000799564333266316980748
1100,-0.08,33896.487130788333766662778006
1100,-0.07,35121.514260078114185806297309
1100,-0.06,36371.467223714059510656763550
1100,-0.05,37646.734299594404514738307628
