mortgageInterestRate,propertyValueYearlyIncrease,delta
0,-0.15,-37898.730693373974475734838183
0,-0.14,-32554.389673373974475734838183
0,-0.13,-26955.609053373974475734838183
0,-0.12,-21093.409833373974475734838183
0,-0.11,-14958.604213373974475734838183
0,-0.10,-8541.793193373974475734838183
0,-0.09,-1833.364173373974475734838183
0,-0.08,5176.511446626025524265161817
0,-0.07,12497.880666626025524265161817
0,-0.06,20141.011286626025524265161817
0,-0.05,28116.394306626025524265161817
0,-0.04,36434.746326626025524265161817
0,-0.03,45107.011946626025524265161817
0,-0.02,54144.366166626025524265161817
0,-0.01,63558.216786626025524265161817
0,0.00,73360.206806626025524265161817
0,0.01,83562.21682662602552426516182
0,0.02,94176.36744662602552426516182
0,0.03,105215.02166662602552426516182
0,0.04,116690.78728662602552426516182
0,0.05,128616.51930662602552426516182
0,0.06,141005.32232662602552426516182
0,0.07,153870.55294662602552426516182
0,0.08,167225.82216662602552426516182
0,0.09,181084.99778662602552426516182
0,0.10,195462.20680662602552426516182
0,0.11,210371.83782662602552426516182
0,0.12,225828.54344662602552426516182
0,0.13,241847.24266662602552426516182
0,0.14,258443.12328662602552426516182
0,0.15,275631.64430662602552426516182
0.01,-0.15,-46243.262904776356947719671255
0.01,-0.14,-40898.921884776356947719671255
0.01,-0.13,-35300.141264776356947719671255
0.01,-0.12,-29437.942044776356947719671255
0.01,-0.11,-23303.136424776356947719671255
0.01,-0.10,-16886.325404776356947719671255
0.01,-0.09,-10177.896384776356947719671255
0.01,-0.08,-3168.0207647763569477196712547
0.01,-0.07,4153.3484552236430522803287453
0.01,-0.06,11796.479075223643052280328745
0.01,-0.05,19771.862095223643052280328745
0.01,-0.04,28090.214115223643052280328745
0.01,-0.03,36762.479735223643052280328745
0.01,-0.02,45799.833955223643052280328745
0.01,-0.01,55213.684575223643052280328745
0.01,0.00,65015.674595223643052280328745
0.01,0.01,75217.684615223643052280328745
0.01,0.02,85831.83523522364305228032875
0.01,0.03,96870.48945522364305228032875
0.01,0.04,108346.25507522364305228032875
0.01,0.05,120271.98709522364305228032875
0.01,0.06,132660.79011522364305228032875
0.01,0.07,145526.02073522364305228032875
0.01,0.08,158881.28995522364305228032875
0.01,0.09,172740.46557522364305228032875
0.01,0.10,187117.67459522364305228032875
0.01,0.11,202027.30561522364305228032875
0.01,0.12,217484.01123522364305228032875
0.01,0.13,233502.71045522364305228032875
0.01,0.14,250098.59107522364305228032875
0.01,0.15,267287.11209522364305228032875
0.02,-0.15,-54798.390391458217655647989515
0.02,-0.14,-49454.049371458217655647989515
0.02,-0.13,-43855.268751458217655647989515
0.02,-0.12,-37993.069531458217655647989515
0.02,-0.11,-31858.263911458217655647989515
0.02,-0.10,-25441.452891458217655647989515
0.02,-0.09,-18733.023871458217655647989515
0.02,-0.08,-11723.148251458217655647989515
0.02,-0.07,-4401.7790314582176556479895152
0.02,-0.06,3241.3515885417823443520104848
0.02,-0.05,11216.734608541782344352010485
0.02,-0.04,19535.086628541782344352010485
0.02,-0.03,28207.352248541782344352010485
0.02,-0.02,37244.706468541782344352010485
0.02,-0.01,46658.557088541782344352010485
0.02,0.00,56460.547108541782344352010485
0.02,0.01,66662.557128541782344352010485
0.02,0.02,77276.707748541782344352010485
0.02,0.03,88315.36196854178234435201048
0.02,0.04,99791.12758854178234435201048
0.02,0.05,111716.85960854178234435201048
0.02,0.06,124105.66262854178234435201048
0.02,0.07,136970.89324854178234435201048
0.02,0.08,150326.16246854178234435201048
0.02,0.09,164185.33808854178234435201048
0.02,0.10,178562.54710854178234435201048
0.02,0.11,193472.17812854178234435201048
0.02,0.12,208928.88374854178234435201048
0.02,0.13,224947.58296854178234435201048
0.02,0.14,241543.46358854178234435201048
0.02,0.15,258731.98460854178234435201048
0.03,-0.15,-63544.990602064702839085986698
0.03,-0.14,-58200.649582064702839085986698
0.03,-0.13,-52601.868962064702839085986698
