rentPriceYearlyIncrease,delta
-0.1,37147.834071227319431926878918
-0.09,38431.100247031780284845854237
-0.08,39740.721699276144467041269427
-0.07,41077.114931228632197016017764
-0.06,42440.699982467845278671071834
-0.05,43831.900428882767101305483558
-0.04,45251.143382672762639616384143
-0.03,46698.859492347578453698984126
-0.02,48175.482942727342689046573357
-0.01,49681.451454942565076550520985
0.00,51217.206286434136932500275483
0.01,52783.192230953331158583364638
0.02,54379.857618561802241885395545
0.03,56007.654315631586254890054617
0.04,57667.037724845100855479107565
0.05,59358.466785195145286932399437
0.06,61082.403971984900377927854575
0.07,62839.315296827928542541476634
0.08,64629.670307648173780247348606
0.09,66453.942088679961675917632761
0.10,68312.607260467999399822570704
0.11,70206.145979867375707630483344
0.12,72135.041940043560940407770912
0.13,74099.782370472407024618912944
0.14,76100.858036940147472126468292
0.15,78138.763241543397380191075121
