initialMonthlyRentPrice,rentPriceYearlyIncrease,delta
500,-0.1,-1335.41706151428928352771317
500,-0.09,-809.24445461031855162864534
500,-0.08,-272.20232912641904961838001
500,-0.07,275.88167885440235679644204
500,-0.06,835.18139994468391433611876
500,-0.05,1405.87213145250898214788651
500,-0.04,1988.13063738150603180592063
500,-0.03,2582.13514843084864731133486
500,-0.02,3188.06536199525552509218183
500,-0.01,3806.10244216499047400345276
500,0.00,4436.42901972586241532707756
500,0.01,5079.22919215922538277192472
500,0.02,5734.68852364197852247380152
500,0.03,6402.99404504656609299545396
500,0.04,7084.33425394097746532656654
500,0.05,7778.89911458874712288376254
500,0.06,8486.88005794895466151060389
500,0.07,9208.46998167622478947759128
500,0.08,9943.86325012072732748216390
500,0.09,10693.25569432817720864869976
500,0.10,11456.84461203983447852851554
500,0.11,12234.82876769250429509986649
500,0.12,13027.40839241853692876794660
500,0.13,13834.78518404582776236488861
500,0.14,14657.16230709781729114976378
500,0.15,15494.74439279349112280858208
600,-0.1,4140.11154050115754456840943
600,-0.09,4771.51866878592242284729078
600,-0.08,5415.96921936660182525960915
600,-0.07,6073.67002894358751295739563
600,-0.06,6744.82969425192538200500764
600,-0.05,7429.65857206131546337912896
600,-0.04,8128.36877917611192296876985
600,-0.03,8841.17419243532306157526698
600,-0.02,9568.29044871261131491228337
600,-0.01,10309.93494491629325360580849
600,0.00,11066.32683798933958319415820
600,0.01,11837.68704490937514412797481
600,0.02,12624.23824268867891177022702
600,0.03,13426.20486837418399639620990
600,0.04,14243.81311904747764319354501
600,0.05,15077.29095182480123226218018
600,0.06,15926.86808385705027861438983
600,0.07,16792.77599232977443217477465
600,0.08,17675.24791446317747778026184
600,0.09,18574.51884751211733518010489
600,0.10,19490.82554876610605903588380
600,0.11,20424.40653554930983892150496
600,0.12,21375.50208522054899932320109
600,0.13,22344.35423517329799963953149
600,0.14,23331.20678283568543418138167
600,0.15,24336.30528567049403217196369
700,-0.1,9615.64014251660437266453194
700,-0.09,10352.28179218216339732322683
700,-0.08,11104.14076785962270013759831
700,-0.07,11871.45837903277266911834922
700,-0.06,12654.47798855916684967389656
700,-0.05,13453.44501267012194461037144
700,-0.04,14268.60692097071781413161917
700,-0.03,15100.21323643979747583919912
700,-0.02,15948.51553542996710473238489
700,-0.01,16813.76744766759603320816421
700,0.00,17696.22465625281675106123888
700,0.01,18596.14489765952490548402493
700,0.02,19513.78796173537930106665250
700,0.03,20449.41569170180189979696585
700,0.04,21403.29198415397782106052343
700,0.05,22375.68278906085534164059787
700,0.06,23366.85610976514589571817578
700,0.07,24377.08200298332407487195807
700,0.08,25406.63257880562762807835976
700,0.09,26455.78200069605746171150999
700,0.10,27524.80648549237763954325208
700,0.11,28613.98430340611538274314340
700,0.12,29723.59577802256106987845559
700,0.13,30853.923286300768236914174365
700,0.14,32005.251258573553577212999587
700,0.15,33177.866178547496941535345275
800,-0.1,15091.16874453205120076065449
800,-0.09,15933.04491557840437179916293
800,-0.08,16792.31231635264357501558746
800,-0.07,17669.24672912195782527930280
800,-0.06,18564.12628286640831734278546
800,-0.05,19477.23145327892842584161389
800,-0.04,20408.84506276532370529446842
800,-0.03,21359.25228044427189010313124
800,-0.02,22328.74062214732289455248643
800,-0.01,23317.59995041889881281051992
800,0.00,24326.12247451629391892831954
800,0.01,25354.60275040967466684007504
800,0.02,26403.33768078207969036307798
800,0.03,27472.62651502941980319772182
800,0.04,28562.77084926047799892750192
800,0.05,29674.07462629690945101901552
800,0.06,30806.844135673241512821961717
800,0.07,31961.388013636873717569141494
800,0.08,33138.017243148077778376457713
800,0.09,34337.045153879997588242915118
800,0.10,35558.787422218649220050620335
800,0.11,36803.562071262920926564781860
800,0.12,38071.689470824573140433710075
800,0.13,39363.492337428238474188817242
800,0.14,40679.295734311421720244617499
800,0.15,42019.427071424499850898726857
900,-0.1,20566.69734654749802885677701
900,-0.09,21513.80803897464534627509901
900,-0.08,22480.48386484566444989357664
900,-0.07,23467.03507921114298144025637
900,-0.06,24473.77457717364978501167437
900,-0.05,25501.01789388773490707285636
900,-0.04,26549.08320455992959645731771
900,-0.03,27618.29132444874630436706339
900,-0.02,28708.96570886467868437258796
900,-0.01,29821.43245317020159241287564
900,0.00,30956.020292779771086795400220
900,0.01,32113.060603159824428196125148
900,0.02,33292.887399828780079659503445
900,0.03,34495.837338357037706598477773
900,0.04,35722.249714366978176794480396
900,0.05,36972.466463532963560397433196
900,0.06,38246.832161581337129925747666
900,0.07,39545.694024290423360266324910
900,0.08,40869.401907490527928674555659
900,0.09,42218.308307063937714774320238
900,0.10,43592.768358944920800557988606
900,0.11,44993.139839119726470386420321
900,0.12,46419.783163626585210988964568
900,0.13,47873.061388555708711463460126
900,0.14,49353.340210049289863276235413
900,0.15,50860.987964301502760262108444
1000,-0.1,26042.22594856294485695289956
1000,-0.09,27094.57116237088632075103511
1000,-0.08,28168.65541333868532477156579
1000,-0.07,29264.82342930032813760120995
1000,-0.06,30383.422871480891252680563278
1000,-0.05,31524.804334496541388304098831
1000,-0.04,32689.321346354535487620166994
1000,-0.03,33877.330368453220718630995518
1000,-0.02,35089.190795582034474192689484
1000,-0.01,36325.264955921504372015231348
1000,0.00,37585.918111043248254662480892
1000,0.01,38871.518455909974189552175249
1000,0.02,40182.437118875480468955928913
1000,0.03,41519.048161684655609999233727
1000,0.04,42881.728579473478354661458861
1000,0.05,44270.858300769017669775850859
1000,0.06,45686.820187489432747029533604
1000,0.07,47130.000034943973002963508322
1000,0.08,48600.786571832978078972653595
1000,0.09,50099.571460247877841305725355
1000,0.10,51626.749295671192381065356870
1000,0.11,53182.717606976532014208058781
1000,0.12,54767.876856428597281544219051
1000,0.13,56382.630439683178948738103010
1000,0.14,58027.384685787158006307853325
1000,0.15,59702.548857178505669625490027
1100,-0.1,31517.754550578391685049022083
1100,-0.09,32675.334285767127295226971199
1100,-0.08,33856.826961831706199649554948
1100,-0.07,35062.611779389513293762163525
1100,-0.06,36293.071165788132720349452190
