initialPropertyValue,delta
100000,71202.700876920378223640368416
110000,69683.196220791499026765337028
120000,68163.691564662619829890305676
130000,66644.186908533740633015274307
140000,65124.682252404861436140242917
150000,63605.177596275982239265211537
160000,62085.672940147103042390180131
170000,60566.168284018223845515148771
180000,59046.663627889344648640117358
190000,57527.158971760465451765085955
200000,56007.654315631586254890054617
210000,54488.149659502707058015023226
220000,52968.645003373827861139991853
230000,51449.140347244948664264960453
240000,49929.635691116069467389929102
250000,48410.131034987190270514897736
260000,46890.626378858311073639866288
270000,45371.121722729431876764835014
280000,43851.617066600552679889803612
290000,42332.112410471673483014772188
300000,40812.607754342794286139740828
310000,39293.103098213915089264709445
320000,37773.598442085035892389678081
330000,36254.093785956156695514646681
340000,34734.589129827277498639615294
350000,33215.08447369839830176458391
360000,31695.57981756951910488955257
370000,30176.07516144063990801452113
380000,28656.57050531176071113948977
390000,27137.06584918288151426445838
400000,25617.56119305400231738942702
410000,24098.05653692512312051439566
420000,22578.55188079624392363936425
430000,21059.04722466736472676433286
440000,19539.54256853848552988930151
450000,18020.03791240960633301427017
460000,16500.53325628072713613923873
470000,14981.02860015184793926420734
480000,13461.52394402296874238917602
490000,11942.01928789408954551414459
500000,10422.51463176521034863911318
