mortgageInterestRate,propertyValueYearlyIncrease,initialMonthlyRentPrice,delta
0,-0.15,500,-88297.41669899599042129606948
0,-0.15,600,-81097.60441247855957193017929
0,-0.15,700,-73897.792125961128722564289106
0,-0.15,800,-66697.979839443697873198398918
0,-0.15,900,-59498.167552926267023832508736
0,-0.15,1000,-52298.355266408836174466618552
0,-0.15,1100,-45098.542979891405325100728366
0,-0.15,1200,-37898.730693373974475734838183
0,-0.15,1300,-30698.918406856543626368947996
0,-0.15,1400,-23499.106120339112777003057812
0,-0.15,1500,-16299.293833821681927637167628
0,-0.15,1600,-9099.481547304251078271277441
0,-0.15,1700,-1899.669260786820228905387259
0,-0.15,1800,5300.143025730610620460502929
0,-0.15,1900,12499.955312248041469826393114
0,-0.15,2000,19699.767598765472319192283294
0,-0.14,500,-82953.07567899599042129606948
0,-0.14,600,-75753.263392478559571930179291
0,-0.14,700,-68553.451105961128722564289106
0,-0.14,800,-61353.638819443697873198398918
0,-0.14,900,-54153.826532926267023832508736
0,-0.14,1000,-46954.014246408836174466618552
0,-0.14,1100,-39754.201959891405325100728366
0,-0.14,1200,-32554.389673373974475734838183
0,-0.14,1300,-25354.577386856543626368947996
0,-0.14,1400,-18154.765100339112777003057812
0,-0.14,1500,-10954.952813821681927637167628
0,-0.14,1600,-3755.140527304251078271277441
0,-0.14,1700,3444.671759213179771094612741
0,-0.14,1800,10644.484045730610620460502929
0,-0.14,1900,17844.296332248041469826393114
0,-0.14,2000,25044.108618765472319192283294
0,-0.13,500,-77354.295058995990421296069478
0,-0.13,600,-70154.482772478559571930179291
0,-0.13,700,-62954.670485961128722564289106
0,-0.13,800,-55754.858199443697873198398918
0,-0.13,900,-48555.045912926267023832508736
0,-0.13,1000,-41355.233626408836174466618552
0,-0.13,1100,-34155.421339891405325100728366
0,-0.13,1200,-26955.609053373974475734838183
0,-0.13,1300,-19755.796766856543626368947996
0,-0.13,1400,-12555.984480339112777003057812
0,-0.13,1500,-5356.172193821681927637167628
0,-0.13,1600,1843.640092695748921728722559
0,-0.13,1700,9043.452379213179771094612741
0,-0.13,1800,16243.264665730610620460502929
0,-0.13,1900,23443.076952248041469826393114
0,-0.13,2000,30642.889238765472319192283294
0,-0.12,500,-71492.095838995990421296069478
0,-0.12,600,-64292.283552478559571930179291
0,-0.12,700,-57092.471265961128722564289106
0,-0.12,800,-49892.658979443697873198398918
0,-0.12,900,-42692.846692926267023832508736
0,-0.12,1000,-35493.034406408836174466618552
0,-0.12,1100,-28293.222119891405325100728366
0,-0.12,1200,-21093.409833373974475734838183
0,-0.12,1300,-13893.597546856543626368947996
0,-0.12,1400,-6693.785260339112777003057812
0,-0.12,1500,506.027026178318072362832372
0,-0.12,1600,7705.839312695748921728722559
0,-0.12,1700,14905.651599213179771094612741
0,-0.12,1800,22105.463885730610620460502929
0,-0.12,1900,29305.276172248041469826393114
0,-0.12,2000,36505.088458765472319192283294
0,-0.11,500,-65357.290218995990421296069478
0,-0.11,600,-58157.477932478559571930179291
0,-0.11,700,-50957.665645961128722564289106
0,-0.11,800,-43757.853359443697873198398918
0,-0.11,900,-36558.041072926267023832508736
0,-0.11,1000,-29358.228786408836174466618552
0,-0.11,1100,-22158.416499891405325100728366
0,-0.11,1200,-14958.604213373974475734838183
0,-0.11,1300,-7758.791926856543626368947996
0,-0.11,1400,-558.979640339112777003057812
0,-0.11,1500,6640.832646178318072362832372
0,-0.11,1600,13840.644932695748921728722559
0,-0.11,1700,21040.457219213179771094612741
0,-0.11,1800,28240.269505730610620460502929
0,-0.11,1900,35440.081792248041469826393114
0,-0.11,2000,42639.894078765472319192283294
0,-0.10,500,-58940.479198995990421296069478
0,-0.10,600,-51740.666912478559571930179291
0,-0.10,700,-44540.854625961128722564289106
0,-0.10,800,-37341.042339443697873198398918
0,-0.10,900,-30141.230052926267023832508736
0,-0.10,1000,-22941.417766408836174466618552
0,-0.10,1100,-15741.605479891405325100728366
0,-0.10,1200,-8541.793193373974475734838183
0,-0.10,1300,-1341.980906856543626368947996
0,-0.10,1400,5857.831379660887222996942188
0,-0.10,1500,13057.643666178318072362832372
0,-0.10,1600,20257.455952695748921728722559
0,-0.10,1700,27457.268239213179771094612741
0,-0.10,1800,34657.080525730610620460502929
0,-0.10,1900,41856.892812248041469826393114
0,-0.10,2000,49056.705098765472319192283294
0,-0.09,500,-52232.050178995990421296069478
0,-0.09,600,-45032.237892478559571930179291
0,-0.09,700,-37832.425605961128722564289106
0,-0.09,800,-30632.613319443697873198398918
0,-0.09,900,-23432.801032926267023832508736
0,-0.09,1000,-16232.988746408836174466618552
0,-0.09,1100,-9033.176459891405325100728366
0,-0.09,1200,-1833.364173373974475734838183
0,-0.09,1300,5366.448113143456373631052004
0,-0.09,1400,12566.260399660887222996942188
0,-0.09,1500,19766.072686178318072362832372
0,-0.09,1600,26965.884972695748921728722559
0,-0.09,1700,34165.697259213179771094612741
0,-0.09,1800,41365.509545730610620460502929
0,-0.09,1900,48565.321832248041469826393114
0,-0.09,2000,55765.134118765472319192283294
0,-0.08,500,-45222.174558995990421296069478
0,-0.08,600,-38022.362272478559571930179291
0,-0.08,700,-30822.549985961128722564289106
0,-0.08,800,-23622.737699443697873198398918
0,-0.08,900,-16422.925412926267023832508736
0,-0.08,1000,-9223.113126408836174466618552
0,-0.08,1100,-2023.3008398914053251007283664
0,-0.08,1200,5176.511446626025524265161817
0,-0.08,1300,12376.323733143456373631052004
0,-0.08,1400,19576.136019660887222996942188
0,-0.08,1500,26775.948306178318072362832372
0,-0.08,1600,33975.760592695748921728722559
0,-0.08,1700,41175.572879213179771094612741
0,-0.08,1800,48375.385165730610620460502929
0,-0.08,1900,55575.197452248041469826393114
0,-0.08,2000,62775.009738765472319192283294
0,-0.07,500,-37900.805338995990421296069478
0,-0.07,600,-30700.993052478559571930179291
0,-0.07,700,-23501.180765961128722564289106
0,-0.07,800,-16301.368479443697873198398918
0,-0.07,900,-9101.556192926267023832508736
0,-0.07,1000,-1901.7439064088361744666185517
0,-0.07,1100,5298.0683801085946748992716336
0,-0.07,1200,12497.880666626025524265161817
0,-0.07,1300,19697.692953143456373631052004
0,-0.07,1400,26897.505239660887222996942188
0,-0.07,1500,34097.317526178318072362832372
0,-0.07,1600,41297.129812695748921728722559
0,-0.07,1700,48496.942099213179771094612741
0,-0.07,1800,55696.754385730610620460502929
0,-0.07,1900,62896.566672248041469826393114
0,-0.07,2000,70096.378958765472319192283294
0,-0.06,500,-30257.674718995990421296069478
0,-0.06,600,-23057.862432478559571930179291
0,-0.06,700,-15858.050145961128722564289106
0,-0.06,800,-8658.237859443697873198398918
0,-0.06,900,-1458.425572926267023832508736
0,-0.06,1000,5741.3867135911638255333814483
0,-0.06,1100,12941.199000108594674899271634
0,-0.06,1200,20141.011286626025524265161817
0,-0.06,1300,27340.823573143456373631052004
0,-0.06,1400,34540.635859660887222996942188
0,-0.06,1500,41740.448146178318072362832372
0,-0.06,1600,48940.260432695748921728722559
0,-0.06,1700,56140.072719213179771094612741
0,-0.06,1800,63339.885005730610620460502929
0,-0.06,1900,70539.697292248041469826393114
0,-0.06,2000,77739.509578765472319192283294
0,-0.05,500,-22282.291698995990421296069478
0,-0.05,600,-15082.479412478559571930179291
0,-0.05,700,-7882.667125961128722564289106
0,-0.05,800,-682.854839443697873198398918
0,-0.05,900,6516.957447073732976167491264
