mortgageInterestRate,propertyValueYearlyIncrease,delta
0,-0.15,-65340.356186684564034195087237
0,-0.14,-58125.495809684564034195087237
0,-0.13,-50567.141972684564034195087237
0,-0.12,-42653.173025684564034195087237
0,-0.11,-34371.185438684564034195087237
0,-0.10,-25708.490561684564034195087237
0,-0.09,-16652.111384684564034195087237
0,-0.08,-7188.7792976845640341950872373
0,-0.07,2695.0691493154359658049127627
0,-0.06,13013.295486315435965804912763
0,-0.05,23780.062563315435965804912763
0,-0.04,35009.837790315435965804912763
0,-0.03,46717.396377315435965804912763
0,-0.02,58917.824574315435965804912763
0,-0.01,71626.522911315435965804912763
0,0.00,84859.20943831543596580491276
0,0.01,98631.92296531543596580491276
0,0.02,112961.02630231543596580491276
0,0.03,127863.20949931543596580491276
0,0.04,143355.49308631543596580491276
0,0.05,159455.23131331543596580491276
0,0.06,176180.11539031543596580491276
0,0.07,193548.17672731543596580491276
0,0.08,211577.79017431543596580491276
0,0.09,230287.67726131543596580491276
0,0.10,249696.90943831543596580491276
0,0.11,269824.91131531543596580491276
0,0.12,290691.46390231543596580491276
0,0.13,312316.70784931543596580491276
0,0.14,334721.14668631543596580491276
0,0.15,357925.65006331543596580491276
0.01,-0.15,-76459.067990850743190443246540
0.01,-0.14,-69244.207613850743190443246540
0.01,-0.13,-61685.853776850743190443246540
0.01,-0.12,-53771.884829850743190443246540
0.01,-0.11,-45489.897242850743190443246540
0.01,-0.10,-36827.202365850743190443246540
0.01,-0.09,-27770.823188850743190443246540
0.01,-0.08,-18307.491101850743190443246540
0.01,-0.07,-8423.642654850743190443246540
0.01,-0.06,1894.5836821492568095567534601
0.01,-0.05,12661.350759149256809556753460
0.01,-0.04,23891.125986149256809556753460
0.01,-0.03,35598.684573149256809556753460
0.01,-0.02,47799.112770149256809556753460
0.01,-0.01,60507.811107149256809556753460
0.01,0.00,73740.497634149256809556753460
0.01,0.01,87513.21116114925680955675346
0.01,0.02,101842.31449814925680955675346
0.01,0.03,116744.49769514925680955675346
0.01,0.04,132236.78128214925680955675346
0.01,0.05,148336.51950914925680955675346
0.01,0.06,165061.40358614925680955675346
0.01,0.07,182429.46492314925680955675346
0.01,0.08,200459.07837014925680955675346
0.01,0.09,219168.96545714925680955675346
0.01,0.10,238578.19763414925680955675346
0.01,0.11,258706.19951114925680955675346
0.01,0.12,279572.75209814925680955675346
0.01,0.13,301197.99604514925680955675346
0.01,0.14,323602.43488214925680955675346
0.01,0.15,346806.93825914925680955675346
0.02,-0.15,-87849.18535195041579913304217
0.02,-0.14,-80634.32497495041579913304217
0.02,-0.13,-73075.971137950415799133042171
0.02,-0.12,-65162.002190950415799133042171
0.02,-0.11,-56880.014603950415799133042171
0.02,-0.10,-48217.319726950415799133042171
0.02,-0.09,-39160.940549950415799133042171
0.02,-0.08,-29697.608462950415799133042171
0.02,-0.07,-19813.760015950415799133042171
0.02,-0.06,-9495.533678950415799133042171
0.02,-0.05,1271.233398049584200866957829
0.02,-0.04,12501.008625049584200866957829
0.02,-0.03,24208.567212049584200866957829
0.02,-0.02,36408.995409049584200866957829
0.02,-0.01,49117.693746049584200866957829
0.02,0.00,62350.380273049584200866957829
0.02,0.01,76123.093800049584200866957829
0.02,0.02,90452.19713704958420086695783
0.02,0.03,105354.38033404958420086695783
0.02,0.04,120846.66392104958420086695783
0.02,0.05,136946.40214804958420086695783
0.02,0.06,153671.28622504958420086695783
0.02,0.07,171039.34756204958420086695783
0.02,0.08,189068.96100904958420086695783
0.02,0.09,207778.84809604958420086695783
0.02,0.10,227188.08027304958420086695783
0.02,0.11,247316.08215004958420086695783
0.02,0.12,268182.63473704958420086695783
0.02,0.13,289807.87868404958420086695783
0.02,0.14,312212.31752104958420086695783
0.02,0.15,335416.82089804958420086695783
0.03,-0.15,-99485.10228899728894624195329
0.03,-0.14,-92270.24191199728894624195329
0.03,-0.13,-84711.88807499728894624195329
0.03,-0.12,-76797.919127997288946241953293
0.03,-0.11,-68515.931540997288946241953293
0.03,-0.10,-59853.236663997288946241953293
0.03,-0.09,-50796.857486997288946241953293
0.03,-0.08,-41333.525399997288946241953293
0.03,-0.07,-31449.676952997288946241953293
0.03,-0.06,-21131.450615997288946241953293
0.03,-0.05,-10364.683538997288946241953293
0.03,-0.04,865.091688002711053758046707
0.03,-0.03,12572.650275002711053758046707
0.03,-0.02,24773.078472002711053758046707
0.03,-0.01,37481.776809002711053758046707
0.03,0.00,50714.463336002711053758046707
0.03,0.01,64487.176863002711053758046707
0.03,0.02,78816.280200002711053758046707
0.03,0.03,93718.46339700271105375804671
0.03,0.04,109210.74698400271105375804671
0.03,0.05,125310.48521100271105375804671
0.03,0.06,142035.36928800271105375804671
0.03,0.07,159403.43062500271105375804671
0.03,0.08,177433.04407200271105375804671
0.03,0.09,196142.93115900271105375804671
0.03,0.10,215552.16333600271105375804671
0.03,0.11,235680.16521300271105375804671
0.03,0.12,256546.71780000271105375804671
0.03,0.13,278171.96174700271105375804671
0.03,0.14,300576.40058400271105375804671
0.03,0.15,323780.90396100271105375804671
0.04,-0.15,-111340.35618668456403419508690
0.04,-0.14,-104125.49580968456403419508690
0.04,-0.13,-96567.14197268456403419508690
0.04,-0.12,-88653.17302568456403419508690
0.04,-0.11,-80371.18543868456403419508690
0.04,-0.10,-71708.490561684564034195086900
0.04,-0.09,-62652.111384684564034195086900
0.04,-0.08,-53188.779297684564034195086900
0.04,-0.07,-43304.930850684564034195086900
0.04,-0.06,-32986.704513684564034195086900
0.04,-0.05,-22219.937436684564034195086900
0.04,-0.04,-10990.162209684564034195086900
0.04,-0.03,717.396377315435965804913100
0.04,-0.02,12917.824574315435965804913100
0.04,-0.01,25626.522911315435965804913100
0.04,0.00,38859.209438315435965804913100
0.04,0.01,52631.922965315435965804913100
0.04,0.02,66961.026302315435965804913100
0.04,0.03,81863.20949931543596580491310
0.04,0.04,97355.49308631543596580491310
0.04,0.05,113455.23131331543596580491310
0.04,0.06,130180.11539031543596580491310
0.04,0.07,147548.17672731543596580491310
0.04,0.08,165577.79017431543596580491310
0.04,0.09,184287.67726131543596580491310
0.04,0.10,203696.90943831543596580491310
0.04,0.11,223824.91131531543596580491310
0.04,0.12,244691.46390231543596580491310
0.04,0.13,266316.70784931543596580491310
0.04,0.14,288721.14668631543596580491310
0.04,0.15,311925.65006331543596580491310
0.05,-0.15,-123388.33595490479294739968730
0.05,-0.14,-116173.47557790479294739968730
0.05,-0.13,-108615.12174090479294739968730
0.05,-0.12,-100701.15279390479294739968730
0.05,-0.11,-92419.16520690479294739968730
0.05,-0.10,-83756.47032990479294739968730
0.05,-0.09,-74700.091152904792947399687302
0.05,-0.08,-65236.759065904792947399687302
0.05,-0.07,-55352.910618904792947399687302
0.05,-0.06,-45034.684281904792947399687302
0.05,-0.05,-34267.917204904792947399687302
0.05,-0.04,-23038.141977904792947399687302
0.05,-0.03,-11330.583390904792947399687302
0.05,-0.02,869.844806095207052600312698
