mortgageInterestRate,savingsInterestRate,delta
0,-0.1,139837.78589732645562023004088
0,-0.09,139323.53642306886210352963982
0,-0.08,138767.95839723524212302324828
0,-0.07,138168.65190142280549458026387
0,-0.06,137523.09026941242189021682291
0,-0.05,136828.61371434275212717293028
0,-0.04,136082.42264619891656647435247
0,-0.03,135281.57066497961979738052635
0,-0.02,134422.95721423193777360805973
0,-0.01,133503.31987893787722195098096
0,0.00,132519.22631100000000000000018
0,0.01,131467.06576480347210422918364
0,0.02,130343.04022452739319780060448
0,0.03,129143.15510403767029910362964
0,0.04,127863.20949931543596580491276
0,0.05,126498.78597245742636748645313
0,0.06,125045.23984532610678243725430
0,0.07,123497.68797992586631419371158
0,0.08,121850.99702153542826314735104
0,0.09,120099.77107953378588770643209
0,0.10,118238.33881971544020291632079
0,0.11,116260.73994069836514283732408
0,0.12,114160.71100578274358180322642
0,0.13,111931.67060031779890021515713
0,0.14,109566.70378327558640733753952
0,0.15,107058.54580031190021227069259
0,0.16,104399.56502411288083318421061
0,0.17,101581.74508627875285395344888
0,0.18,98596.66616338054070752216569
0,0.19,95435.48537813864436131059378
0,0.20,92088.91627491072023880305682
0.01,-0.1,130614.75758395562519714608217
0.01,-0.09,129991.18826166599862788201837
0.01,-0.08,129322.82720214701463950254860
0.01,-0.07,128607.15086282002469408346386
0.01,-0.06,127841.50428639212648070208183
0.01,-0.05,127023.09454691674568099815232
0.01,-0.04,126148.98387905167508119641646
0.01,-0.03,125216.08247559785884178863527
0.01,-0.02,124221.14093771645910141313539
0.01,-0.01,123160.74236150517688143344879
0.01,0.00,122031.29404386606532281899846
0.01,0.01,120829.01878981475827086491282
0.01,0.02,119549.94580256366811575135964
0.01,0.03,118189.90113685774738583712025
0.01,0.04,116744.49769514925680955675346
0.01,0.05,115209.12474526596772891873784
0.01,0.06,113578.93693725360669082264521
0.01,0.07,111848.84279605630810720020151
0.01,0.08,110013.49266563648280952198538
0.01,0.09,108067.26607902586103617447838
0.01,0.10,106004.25852764046857706190820
0.01,0.11,103818.26760198179742627938285
0.01,0.12,101502.77847458219894611614819
0.01,0.13,99050.94869473222462201083057
0.01,0.14,96455.59226314883423947199486
0.01,0.15,93709.16295330354772371320628
0.01,0.16,90803.73684462609137806414913
0.01,0.17,87730.99403122912624676316727
0.01,0.18,84482.19946816037355800825145
0.01,0.19,81048.18291547687592662621241
0.01,0.20,77419.317938649132943291272202
0.02,-0.1,121270.22085962150107241603964
0.02,-0.09,120528.68745449088474482614154
0.02,-0.08,119738.62528242717822690477356
0.02,-0.07,118897.37740135672242473027666
0.02,-0.06,118002.15041856864990896154630
0.02,-0.05,117050.00774134074787839878840
0.02,-0.04,116037.86250308293074002023705
0.02,-0.03,114962.47014977878842229239804
0.02,-0.02,113820.42067080801550305578752
0.02,-0.01,112608.13045750358528235972499
0.02,0.00,111321.83377203593990980361789
0.02,0.01,109957.57380842079153567837687
0.02,0.02,108511.19332661587777769984680
0.02,0.03,106978.32483980363121966033120
0.02,0.04,105354.38033404958420086695783
0.02,0.05,103634.54049857874441819218957
0.02,0.06,101813.74344392237913019838774
0.02,0.07,99886.67288415379596778434308
0.02,0.08,97847.74575835188797210828455
0.02,0.09,95691.09926530341918775243510
0.02,0.10,93410.57728427717945298869584
0.02,0.11,90999.71615347305874307993964
0.02,0.12,88451.72977646451591492818557
0.02,0.13,85759.49402561148109134059780
0.02,0.14,82915.53041001997207133975284
0.02,0.15,79911.98897416205549883092404
0.02,0.16,76740.630391742566752558458793
0.02,0.17,73392.807217804429062891603719
0.02,0.18,69859.444260399574693140666097
0.02,0.19,66131.018031414338792763909368
0.02,0.20,62197.535234323611477886816127
0.03,-0.1,111826.83525053023407620143773
0.03,-0.09,110958.86344323944708454244828
0.03,-0.08,110038.35737807980785675536529
0.03,-0.07,109062.51713031215525735772580
0.03,-0.06,108028.40092686586880442668089
0.03,-0.05,106932.91818749034776281055041
0.03,-0.04,105772.82223319254621115625957
0.03,-0.03,104544.70264641645436038556463
0.03,-0.02,103244.97726670998934397769190
0.03,-0.01,101869.88380488255295849156492
0.03,0.00,100415.47105788113795331947428
0.03,0.01,98877.58970580286736600250544
0.03,0.02,97251.88267161571985408171794
0.03,0.03,95533.77502327535002961413772
0.03,0.04,93718.46339700271105375804671
0.03,0.05,91800.90491952291152295254634
0.03,0.06,89775.80560605860109627967981
0.03,0.07,87637.60820981931423425500265
0.03,0.08,85380.47949762966425705194395
0.03,0.09,82998.29692519204334382488415
0.03,0.10,80484.63468428143454082736052
0.03,0.11,77832.749092918875991514493335
0.03,0.12,75035.563298263738591388246270
0.03,0.13,72085.651260600891841191397177
0.03,0.14,68975.220985374543111135039383
0.03,0.15,65696.096968733441465862767875
0.03,0.16,62239.701820499527229587798356
0.03,0.17,58597.037026851156597983828268
0.03,0.18,54758.662813319791502942409268
0.03,0.19,50714.677066932449022037696778
0.03,0.20,46454.693274488052918262614507
0.04,-0.1,102306.42466301634401689906756
0.04,-0.09,101303.80763826909568298844378
0.04,-0.08,100244.39087784837716884578718
0.04,-0.07,99125.22219368553161552391927
0.04,-0.06,97943.20180133472431668611793
0.04,-0.05,96695.07513805355500307694160
0.04,-0.04,95377.42533940388193254380730
0.04,-0.03,93986.66535848310478004036963
0.04,-0.02,92519.02971117213163094408904
0.04,-0.01,90970.56583002992386213527477
0.04,0.00,89337.12500867445934471884681
0.04,0.01,87614.35291766470679767804996
0.04,0.02,85797.67967203622689178477640
0.04,0.03,83882.30942974270789314317745
0.04,0.04,81863.20949931543596580491310
0.04,0.05,79735.09893407065226324076624
0.04,0.06,77492.436589169146018640108056
0.04,0.07,75129.408616761383140526632854
0.04,0.08,72639.915373333001017910294347
0.04,0.09,70017.557712197556211650829316
0.04,0.10,67255.622632863849031788389414
