mortgageInterestRate,delta
0,127863.20949931543596580491276
0.01,116744.49769514925680955675346
0.02,105354.38033404958420086695783
0.03,93718.46339700271105375804671
0.04,81863.20949931543596580491310
0.05,69815.229731095207052600312698
0.06,57600.619941503887560076861568
0.07,45244.376842726497456284075680
0.08,32769.919428255373682950758178
0.09,20198.729989110565475340088650
0.10,7550.11802758908269259438473
0.11,-5158.89912703548211370424797
0.12,-17913.61239161990768357968362
0.13,-30701.55165160597010830687578
0.14,-43512.35113383067723863782774
0.15,-56337.56933603428795192574533
0.16,-69170.48174160431494627118546
0.17,-82005.86187244671180340795260
0.18,-94839.76308759213039404895566
0.19,-107669.31033980195735206589381
0.20,-120492.50815044673904674688565
