propertyValueYearlyIncrease,delta
-0.15,-81532.92576249341374510994538
-0.14,-76188.584742493413745109945383
-0.13,-70589.804122493413745109945383
-0.12,-64727.604902493413745109945383
-0.11,-58592.799282493413745109945383
-0.10,-52175.988262493413745109945383
-0.09,-45467.559242493413745109945383
-0.08,-38457.683622493413745109945383
-0.07,-31136.314402493413745109945383
-0.06,-23493.183782493413745109945383
-0.05,-15517.800762493413745109945383
-0.04,-7199.448742493413745109945383
-0.03,1472.816877506586254890054617
-0.02,10510.171097506586254890054617
-0.01,19924.021717506586254890054617
0.00,29726.011737506586254890054617
0.01,39928.021757506586254890054617
0.02,50542.172377506586254890054617
0.03,61580.826597506586254890054617
0.04,73056.592217506586254890054617
0.05,84982.32423750658625489005462
0.06,97371.12725750658625489005462
0.07,110236.35787750658625489005462
0.08,123591.62709750658625489005462
0.09,137450.80271750658625489005462
0.10,151828.01173750658625489005462
0.11,166737.64275750658625489005462
0.12,182194.34837750658625489005462
0.13,198213.04759750658625489005462
0.14,214808.92821750658625489005462
0.15,231997.44923750658625489005462
